number,name,type,description
41931,UnderlyingPaymentStreamPricingDayDistribution,INT,
41932,UnderlyingPaymentStreamPricingDayCount,INT,
41933,UnderlyingPaymentStreamPricingBusinessCalendar,STRING,
41934,UnderlyingPaymentStreamPricingBusinessDayConvention,INT,
41935,LegStreamCommoditySettlTimeType,INT,
41936,UnderlyingStreamCommoditySettlTimeType,INT,
41937,NoUnderlyingPaymentStreamPaymentDates,NUMINGROUP,
41938,UnderlyingPaymentStreamPaymentDate,LOCALMKTDATE,
41939,UnderlyingPaymentStreamPaymentDateType,INT,
41940,UnderlyingPaymentStreamMasterAgreementPaymentDatesIndicator,BOOLEAN,
41941,NoUnderlyingPaymentStreamPricingDates,NUMINGROUP,
41942,UnderlyingPaymentStreamPricingDate,LOCALMKTDATE,
41943,UnderlyingPaymentStreamPricingDateType,INT,
41944,NoUnderlyingPaymentStreamPricingDays,NUMINGROUP,
41945,UnderlyingPaymentStreamPricingDayOfWeek,INT,
41946,UnderlyingPaymentStreamPricingDayNumber,INT,
41947,NoUnderlyingPricingDateBusinessCenters,NUMINGROUP,
41948,UnderlyingPricingDateBusinessCenter,STRING,
41949,UnderlyingPricingDateUnadjusted,LOCALMKTDATE,
41950,UnderlyingPricingDateBusinessDayConvention,INT,
41951,UnderlyingPricingDateAdjusted,LOCALMKTDATE,
41952,UnderlyingPricingTime,LOCALMKTTIME,
41953,UnderlyingPricingTimeBusinessCenter,STRING,
41954,NoUnderlyingStreamCalculationPeriodDates,NUMINGROUP,
41955,UnderlyingStreamCalculationPeriodDate,LOCALMKTDATE,
41956,UnderlyingStreamCalculationPeriodDateType,INT,
41957,UnderlyingStreamCalculationPeriodDatesXID,XID,
41958,UnderlyingStreamCalculationPeriodDatesXIDRef,XIDREF,
41959,UnderlyingStreamCalculationBalanceOfFirstPeriod,BOOLEAN,
41960,UnderlyingStreamCalculationCorrectionPeriod,INT,
41961,UnderlyingStreamCalculationCorrectionUnit,STRING,
41962,NoUnderlyingStreamCommoditySettlBusinessCenters,NUMINGROUP,
41963,UnderlyingStreamCommoditySettlBusinessCenter,STRING,
41964,UnderlyingStreamCommodityBase,STRING,
41965,UnderlyingStreamCommodityType,STRING,
41966,UnderlyingStreamCommoditySecurityID,STRING,
41967,UnderlyingStreamCommoditySecurityIDSource,STRING,
41968,UnderlyingStreamCommodityDesc,STRING,
41969,EncodedUnderlyingStreamCommodityDescLen,LENGTH,
41970,EncodedUnderlyingStreamCommodityDesc,DATA,
41971,UnderlyingStreamCommodityUnitOfMeasure,STRING,
41972,UnderlyingStreamCommodityCurrency,CURRENCY,
41973,UnderlyingStreamCommodityExchange,EXCHANGE,
41974,UnderlyingStreamCommodityRateSource,INT,
41975,UnderlyingStreamCommodityRateReferencePage,STRING,
41976,UnderlyingStreamCommodityRateReferencePageHeading,STRING,
41977,UnderlyingStreamDataProvider,STRING,
41978,UnderlyingStreamCommodityPricingType,STRING,
41979,UnderlyingStreamCommodityNearbySettlDayPeriod,INT,
41980,UnderlyingStreamCommodityNearbySettlDayUnit,STRING,
41981,UnderlyingStreamCommoditySettlDateUnadjusted,LOCALMKTDATE,
41982,UnderlyingStreamCommoditySettlDateBusinessDayConvention,INT,
41983,UnderlyingStreamCommoditySettlDateAdjusted,LOCALMKTDATE,
41984,UnderlyingStreamCommoditySettlMonth,INT,
41985,UnderlyingStreamCommoditySettlDateRollPeriod,INT,
41986,UnderlyingStreamCommoditySettlDateRollUnit,STRING,
41987,UnderlyingStreamCommoditySettlDayType,INT,
41988,UnderlyingStreamCommodityXID,XID,
41989,UnderlyingStreamCommodityXIDRef,XIDREF,
41990,NoUnderlyingStreamCommodityAltIDs,NUMINGROUP,
41991,UnderlyingStreamCommodityAltID,STRING,
41992,UnderlyingStreamCommodityAltIDSource,STRING,
41993,NoUnderlyingStreamCommodityDataSources,NUMINGROUP,
41994,UnderlyingStreamCommodityDataSourceID,STRING,
41995,UnderlyingStreamCommodityDataSourceIDType,INT,
41996,NoUnderlyingStreamCommoditySettlDays,NUMINGROUP,
41997,UnderlyingStreamCommoditySettlDay,INT,
41998,UnderlyingStreamCommoditySettlTotalHours,INT,
41999,NoUnderlyingStreamCommoditySettlTimes,NUMINGROUP,
42000,UnderlyingStreamCommoditySettlStart,STRING,
42001,UnderlyingStreamCommoditySettlEnd,STRING,
42002,NoUnderlyingStreamCommoditySettlPeriods,NUMINGROUP,
42003,UnderlyingStreamCommoditySettlCountry,COUNTRY,
42004,UnderlyingStreamCommoditySettlTimeZone,STRING,
42005,UnderlyingStreamCommoditySettlFlowType,INT,
42006,UnderlyingStreamCommoditySettlPeriodNotional,QTY,
42007,UnderlyingStreamCommoditySettlPeriodNotionalUnitOfMeasure,STRING,
42008,UnderlyingStreamCommoditySettlPeriodFrequencyPeriod,INT,
42009,UnderlyingStreamCommoditySettlPeriodFrequencyUnit,STRING,
42010,UnderlyingStreamCommoditySettlPeriodPrice,PRICE,
42011,UnderlyingStreamCommoditySettlPeriodPriceUnitOfMeasure,STRING,
42012,UnderlyingStreamCommoditySettlPeriodPriceCurrency,CURRENCY,
42013,UnderlyingStreamCommoditySettlHolidaysProcessingInstruction,INT,
42014,UnderlyingStreamCommoditySettlPeriodXID,XID,
42015,UnderlyingStreamCommoditySettlPeriodXIDRef,XIDREF,
42016,UnderlyingStreamXID,XID,
42017,UnderlyingAdditionalTermBondIssuer,STRING,
42018,UnderlyingStreamNotionalXIDRef,XIDREF,
42019,UnderlyingStreamNotionalFrequencyPeriod,INT,
42020,UnderlyingStreamNotionalFrequencyUnit,STRING,
42021,UnderlyingStreamNotionalCommodityFrequency,INT,
42022,UnderlyingStreamNotionalUnitOfMeasure,STRING,
42023,UnderlyingStreamTotalNotional,QTY,
42024,UnderlyingStreamTotalNotionalUnitOfMeasure,STRING,
42025,EncodedUnderlyingAdditionalTermBondIssuerLen,LENGTH,
42026,EncodedUnderlyingAdditionalTermBondIssuer,DATA,
42027,UnderlyingAdditionalTermBondSeniority,STRING,
42028,UnderlyingAdditionalTermBondCouponType,INT,
42029,UnderlyingAdditionalTermBondCouponRate,PERCENTAGE,
42030,UnderlyingAdditionalTermBondMaturityDate,LOCALMKTDATE,
42031,UnderlyingAdditionalTermBondParValue,AMT,
42032,UnderlyingAdditionalTermBondCurrentTotalIssuedAmount,AMT,
42033,UnderlyingAdditionalTermBondCouponFrequencyPeriod,INT,
42034,UnderlyingAdditionalTermBondCouponFrequencyUnit,STRING,
42035,UnderlyingAdditionalTermBondDayCount,INT,
42036,NoUnderlyingAdditionalTerms,NUMINGROUP,
42037,UnderlyingAdditionalTermConditionPrecedentBondIndicator,BOOLEAN,
42038,UnderlyingAdditionalTermDiscrepancyClauseIndicator,BOOLEAN,
42039,NoUnderlyingCashSettlDealers,NUMINGROUP,
42040,UnderlyingCashSettlDealer,STRING,
42041,NoUnderlyingCashSettlTerms,NUMINGROUP,
42042,UnderlyingCashSettlCurrency,CURRENCY,
42043,UnderlyingCashSettlValuationFirstBusinessDayOffset,INT,
42044,UnderlyingCashSettlValuationSubsequentBusinessDaysOffset,INT,
42045,UnderlyingCashSettlNumOfValuationDates,INT,
42046,UnderlyingCashSettlValuationTime,LOCALMKTTIME,
42047,UnderlyingCashSettlBusinessCenter,STRING,
42048,UnderlyingCashSettlQuoteMethod,INT,
42049,UnderlyingCashSettlQuoteAmount,AMT,
42050,UnderlyingCashSettlQuoteCurrency,CURRENCY,
42051,UnderlyingCashSettlMinimumQuoteAmount,AMT,
42052,UnderlyingCashSettlMinimumQuoteCurrency,CURRENCY,
42053,UnderlyingCashSettlBusinessDays,INT,
42054,UnderlyingCashSettlAmount,AMT,
42055,UnderlyingCashSettlRecoveryFactor,FLOAT,
42056,UnderlyingCashSettlFixedTermIndicator,BOOLEAN,
42057,UnderlyingCashSettlAccruedInterestIndicator,BOOLEAN,
42058,UnderlyingCashSettlValuationMethod,INT,
42059,UnderlyingCashSettlTermXID,XID,
42060,NoUnderlyingPhysicalSettlTerms,NUMINGROUP,
42061,UnderlyingPhysicalSettlCurrency,CURRENCY,
42062,UnderlyingPhysicalSettlBusinessDays,INT,
42063,UnderlyingPhysicalSettlMaximumBusinessDays,INT,
42064,UnderlyingPhysicalSettlTermXID,XID,
42065,NoUnderlyingPhysicalSettlDeliverableObligations,NUMINGROUP,
42066,UnderlyingPhysicalSettlDeliverableObligationType,STRING,
42067,UnderlyingPhysicalSettlDeliverableObligationValue,STRING,
42068,NoUnderlyingProtectionTerms,NUMINGROUP,
42069,UnderlyingProtectionTermNotional,AMT,
42070,UnderlyingProtectionTermCurrency,CURRENCY,
42071,UnderlyingProtectionTermSellerNotifies,BOOLEAN,
42072,UnderlyingProtectionTermBuyerNotifies,BOOLEAN,
42073,UnderlyingProtectionTermEventBusinessCenter,STRING,
42074,UnderlyingProtectionTermStandardSources,BOOLEAN,
42075,UnderlyingProtectionTermEventMinimumSources,INT,
42076,UnderlyingProtectionTermXID,XID,
42077,NoUnderlyingProtectionTermEvents,NUMINGROUP,
42078,UnderlyingProtectionTermEventType,STRING,
42079,UnderlyingProtectionTermEventValue,STRING,
42080,UnderlyingProtectionTermEventCurrency,CURRENCY,
42081,UnderlyingProtectionTermEventPeriod,INT,
42082,UnderlyingProtectionTermEventUnit,STRING,
42083,UnderlyingProtectionTermEventDayType,INT,
42084,UnderlyingProtectionTermEventRateSource,STRING,
42085,NoUnderlyingProtectionTermEventQualifiers,NUMINGROUP,
42086,UnderlyingProtectionTermEventQualifier,CHAR,
42087,NoUnderlyingProtectionTermObligations,NUMINGROUP,
42088,UnderlyingProtectionTermObligationType,STRING,
42089,UnderlyingProtectionTermObligationValue,STRING,
42090,NoUnderlyingProtectionTermEventNewsSources,NUMINGROUP,
42091,UnderlyingProtectionTermEventNewsSource,STRING,
42092,UnderlyingProvisionCashSettlPaymentDateBusinessDayConvention,INT,
42093,UnderlyingProvisionCashSettlPaymentDateRelativeTo,INT,
42094,UnderlyingProvisionCashSettlPaymentDateOffsetPeriod,INT,
42095,UnderlyingProvisionCashSettlPaymentDateOffsetUnit,STRING,
42096,UnderlyingProvisionCashSettlPaymentDateOffsetDayType,INT,
42097,UnderlyingProvisionCashSettlPaymentDateRangeFirst,LOCALMKTDATE,
42098,UnderlyingProvisionCashSettlPaymentDateRangeLast,LOCALMKTDATE,
42099,NoUnderlyingProvisionCashSettlPaymentDates,NUMINGROUP,
42100,UnderlyingProvisionCashSettlPaymentDate,LOCALMKTDATE,
42101,UnderlyingProvisionCashSettlPaymentDateType,INT,
42102,UnderlyingProvisionCashSettlQuoteSource,INT,
42103,UnderlyingProvisionCashSettlQuoteReferencePage,STRING,
42104,UnderlyingProvisionCashSettlValueTime,LOCALMKTTIME,
42105,UnderlyingProvisionCashSettlValueTimeBusinessCenter,STRING,
42106,UnderlyingProvisionCashSettlValueDateBusinessDayConvention,INT,
42107,UnderlyingProvisionCashSettlValueDateRelativeTo,INT,
42108,UnderlyingProvisionCashSettlValueDateOffsetPeriod,INT,
42109,UnderlyingProvisionCashSettlValueDateOffsetUnit,STRING,
42110,UnderlyingProvisionCashSettlValueDateOffsetDayType,INT,
42111,UnderlyingProvisionCashSettlValueDateAdjusted,LOCALMKTDATE,
42112,NoUnderlyingProvisionOptionExerciseFixedDates,NUMINGROUP,
42113,UnderlyingProvisionOptionExerciseFixedDate,LOCALMKTDATE,
42114,UnderlyingProvisionOptionExerciseFixedDateType,INT,
42115,UnderlyingProvisionOptionExerciseBusinessDayConvention,INT,
42116,UnderlyingProvisionOptionExerciseEarliestDateOffsetPeriod,INT,
42117,UnderlyingProvisionOptionExerciseEarliestDateOffsetUnit,STRING,
42118,UnderlyingProvisionOptionExerciseFrequencyPeriod,INT,
42119,UnderlyingProvisionOptionExerciseFrequencyUnit,STRING,
42120,UnderlyingProvisionOptionExerciseStartDateUnadjusted,LOCALMKTDATE,
42121,UnderlyingProvisionOptionExerciseStartDateRelativeTo,INT,
42122,UnderlyingProvisionOptionExerciseStartDateOffsetPeriod,INT,
42123,UnderlyingProvisionOptionExerciseStartDateOffsetUnit,STRING,
42124,UnderlyingProvisionOptionExerciseStartDateOffsetDayType,INT,
42125,UnderlyingProvisionOptionExerciseStartDateAdjusted,LOCALMKTDATE,
42126,UnderlyingProvisionOptionExercisePeriodSkip,INT,
42127,UnderlyingProvisionOptionExerciseBoundsFirstDateUnadjusted,LOCALMKTDATE,
42128,UnderlyingProvisionOptionExerciseBoundsLastDateUnadjusted,LOCALMKTDATE,
42129,UnderlyingProvisionOptionExerciseEarliestTime,LOCALMKTTIME,
42130,UnderlyingProvisionOptionExerciseEarliestTimeBusinessCenter,STRING,
42131,UnderlyingProvisionOptionExerciseLatestTime,LOCALMKTTIME,
42132,UnderlyingProvisionOptionExerciseLatestTimeBusinessCenter,STRING,
42133,UnderlyingProvisionOptionExpirationDateUnadjusted,LOCALMKTDATE,
42134,UnderlyingProvisionOptionExpirationDateBusinessDayConvention,INT,
42135,UnderlyingProvisionOptionExpirationDateRelativeTo,INT,
42136,UnderlyingProvisionOptionExpirationDateOffsetPeriod,INT,
42137,UnderlyingProvisionOptionExpirationDateOffsetUnit,STRING,
42138,UnderlyingProvisionOptionExpirationDateOffsetDayType,INT,
42139,UnderlyingProvisionOptionExpirationDateAdjusted,LOCALMKTDATE,
42140,UnderlyingProvisionOptionExpirationTime,LOCALMKTTIME,
42141,UnderlyingProvisionOptionExpirationTimeBusinessCenter,STRING,
42142,UnderlyingProvisionOptionRelevantUnderlyingDateUnadjusted,LOCALMKTDATE,
42143,UnderlyingProvisionOptionRelevantUnderlyingDateBizDayConvention,INT,
42144,UnderlyingProvisionOptionRelevantUnderlyingDateRelativeTo,INT,
42145,UnderlyingProvisionOptionRelevantUnderlyingDateOffsetPeriod,INT,
42146,UnderlyingProvisionOptionRelevantUnderlyingDateOffsetUnit,STRING,
42147,UnderlyingProvisionOptionRelevantUnderlyingDateOffsetDayType,INT,
42148,UnderlyingProvisionOptionRelevantUnderlyingDateAdjusted,LOCALMKTDATE,
42149,NoUnderlyingProvisions,NUMINGROUP,
42150,UnderlyingProvisionType,INT,
42151,UnderlyingProvisionDateUnadjusted,LOCALMKTDATE,
42152,UnderlyingProvisionDateBusinessDayConvention,INT,
42153,UnderlyingProvisionDateAdjusted,LOCALMKTDATE,
42154,UnderlyingProvisionDateTenorPeriod,INT,
42155,UnderlyingProvisionDateTenorUnit,STRING,
42156,UnderlyingProvisionCalculationAgent,INT,
42157,UnderlyingProvisionOptionSinglePartyBuyerSide,INT,
42158,UnderlyingProvisionOptionSinglePartySellerSide,INT,
42159,UnderlyingProvisionOptionExerciseStyle,INT,
42160,UnderlyingProvisionOptionExerciseMultipleNotional,AMT,
42161,UnderlyingProvisionOptionExerciseMinimumNotional,AMT,
42162,UnderlyingProvisionOptionExerciseMaximumNotional,AMT,
42163,UnderlyingProvisionOptionMinimumNumber,INT,
42164,UnderlyingProvisionOptionMaximumNumber,INT,
42165,UnderlyingProvisionOptionExerciseConfirmation,BOOLEAN,
42166,UnderlyingProvisionCashSettlMethod,INT,
42167,UnderlyingProvisionCashSettlCurrency,CURRENCY,
42168,UnderlyingProvisionCashSettlCurrency2,CURRENCY,
42169,UnderlyingProvisionCashSettlQuoteType,INT,
42170,UnderlyingProvisionText,STRING,
42171,EncodedUnderlyingProvisionTextLen,LENGTH,
42172,EncodedUnderlyingProvisionText,DATA,
42173,NoUnderlyingProvisionPartyIDs,NUMINGROUP,
42174,UnderlyingProvisionPartyID,STRING,
42175,UnderlyingProvisionPartyIDSource,CHAR,
42176,UnderlyingProvisionPartyRole,INT,
42177,NoUnderlyingProvisionPartySubIDs,NUMINGROUP,
42178,UnderlyingProvisionPartySubID,STRING,
42179,UnderlyingProvisionPartySubIDType,INT,
42180,NoUnderlyingProvisionCashSettlPaymentDateBusinessCenters,NUMINGROUP,
42181,UnderlyingProvisionCashSettlPaymentDateBusinessCenter,STRING,
42182,NoUnderlyingProvisionCashSettlValueDateBusinessCenters,NUMINGROUP,
42183,UnderlyingProvisionCashSettlValueDateBusinessCenter,STRING,
42184,NoUnderlyingProvisionOptionExerciseBusinessCenters,NUMINGROUP,
42185,UnderlyingProvisionOptionExerciseBusinessCenter,STRING,
42186,NoUnderlyingProvisionOptionExpirationDateBusinessCenters,NUMINGROUP,
42187,UnderlyingProvisionOptionExpirationDateBusinessCenter,STRING,
42188,NoUnderlyingProvisionOptionRelevantUnderlyingDateBusinessCenters,NUMINGROUP,
42189,UnderlyingProvisionOptionRelevantUnderlyingDateBusinessCenter,STRING,
42190,NoUnderlyingProvisionDateBusinessCenters,NUMINGROUP,
42191,UnderlyingProvisionDateBusinessCenter,STRING,
42192,DeliveryStreamDeliveryPointSource,INT,
42193,DeliveryStreamDeliveryPointDesc,STRING,
42194,LegDeliveryStreamDeliveryPointSource,INT,
42195,LegDeliveryStreamDeliveryPointDesc,STRING,
42196,UnderlyingDeliveryStreamDeliveryPointSource,INT,
42197,UnderlyingDeliveryStreamDeliveryPointDesc,STRING,
42198,NoLegContractualDefinitions,NUMINGROUP,
42199,LegContractualDefinition,STRING,
42200,NoLegFinancingTermSupplements,NUMINGROUP,
42201,LegFinancingTermSupplementDesc,STRING,
42202,LegFinancingTermSupplementDate,LOCALMKTDATE,
42203,NoLegContractualMatrices,NUMINGROUP,
42204,LegContractualMatrixSource,STRING,
42205,LegContractualMatrixDate,LOCALMKTDATE,
42206,LegContractualMatrixTerm,STRING,
42207,CashSettlDateUnadjusted,LOCALMKTDATE,
42208,CashSettlDateBusinessDayConvention,INT,
42209,CashSettlDateRelativeTo,INT,
42210,CashSettlDateOffsetPeriod,INT,
42211,CashSettlDateOffsetUnit,STRING,
42212,CashSettlDateOffsetDayType,INT,
42213,CashSettlDateAdjusted,LOCALMKTDATE,
42214,NoCashSettlDateBusinessCenters,NUMINGROUP,
42215,CashSettlDateBusinessCenter,STRING,
42216,CashSettlPriceSource,STRING,
42217,CashSettlPriceDefault,INT,
42218,DividendFloatingRateIndex,STRING,
42219,DividendFloatingRateIndexCurvePeriod,INT,
42220,DividendFloatingRateIndexCurveUnit,STRING,
42221,DividendFloatingRateMultiplier,FLOAT,
42222,DividendFloatingRateSpread,PRICEOFFSET,
42223,DividendFloatingRateSpreadPositionType,INT,
42224,DividendFloatingRateTreatment,INT,
42225,DividendCapRate,PERCENTAGE,
42226,DividendCapRateBuySide,INT,
42227,DividendCapRateSellSide,INT,
42228,DividendFloorRate,PERCENTAGE,
42229,DividendFloorRateBuySide,INT,
42230,DividendFloorRateSellSide,INT,
42231,DividendInitialRate,PERCENTAGE,
42232,DividendFinalRateRoundingDirection,CHAR,
42233,DividendFinalRatePrecision,INT,
42234,DividendAveragingMethod,INT,
42235,DividendNegativeRateTreatment,INT,
42236,NoDividendAccrualPaymentDateBusinessCenters,NUMINGROUP,
42237,DividendAccrualPaymentDateBusinessCenter,STRING,
42238,DividendAccrualPaymentDateRelativeTo,INT,
42239,DividendAccrualPaymentDateOffsetPeriod,INT,
42240,DividendAccrualPaymentDateOffsetUnit,STRING,
42241,DividendAccrualPaymentDateOffsetDayType,INT,
42242,DividendAccrualPaymentDateUnadjusted,LOCALMKTDATE,
42243,DividendAccrualPaymeentDateBusinessDayConvention,INT,
42244,DividendAccrualPaymentDateAdjusted,LOCALMKTDATE,
42245,DividendReinvestmentIndicator,BOOLEAN,
42246,DividendEntitlementEvent,INT,
42247,DividendAmountType,INT,
42248,DividendUnderlierRefID,STRING,
42249,ExtraordinaryDividendPartySide,INT,
42250,ExtraordinaryDividendAmountType,INT,
42251,ExtraordinaryDividendCurrency,CURRENCY,
42252,ExtraordinaryDividendDeterminationMethod,STRING,
42253,DividendAccrualFixedRate,PERCENTAGE,
42254,DividendCompoundingMethod,INT,
42255,DividendNumOfIndexUnits,INT,
42256,DividendCashPercentage,PERCENTAGE,
42257,DividendCashEquivalentPercentage,PERCENTAGE,
42258,NonCashDividendTreatment,INT,
42259,DividendComposition,INT,
42260,SpecialDividendsIndicator,BOOLEAN,
42261,MaterialDividendsIndicator,BOOLEAN,
42262,OptionsExchangeDividendsIndicator,BOOLEAN,
42263,AdditionalDividendsIndicator,BOOLEAN,
42264,AllDividendsIndicator,BOOLEAN,
42265,DividendFXTriggerDateRelativeTo,INT,
42266,DividendFXTriggerDateOffsetPeriod,INT,
42267,DividendFXTriggerDateOffsetUnit,STRING,
42268,DividendFXTriggerDateOffsetDayType,INT,
42269,DividendFXTriggerDateUnadjusted,LOCALMKTDATE,
42270,DividendFXTriggerDateBusinessDayConvention,INT,
42271,DividendFXTriggerDateAdjusted,LOCALMKTDATE,
42272,NoDividendFXTriggerDateBusinessCenters,NUMINGROUP,
42273,DividendFXTriggerDateBusinessCenter,STRING,
42274,NoDividendPeriods,NUMINGROUP,
42275,DividendPeriodSequence,INT,
42276,DividendPeriodStartDateUnadjusted,LOCALMKTDATE,
42277,DividendPeriodEndDateUnadjusted,LOCALMKTDATE,
42278,DividendPeriodUnderlierRefID,STRING,
42279,DividendPeriodStrikePrice,PRICE,
42280,DividendPeriodBusinessDayConvention,INT,
42281,DividendPeriodValuationDateUnadjusted,LOCALMKTDATE,
42282,DividendPeriodValuationDateRelativeTo,INT,
42283,DividendPeriodValuationDateOffsetPeriod,INT,
42284,DividendPeriodValuationDateOffsetUnit,STRING,
42285,DividendPeriodValuationDateOffsetDayType,INT,
42286,DividendPeriodValuationDateAdjusted,LOCALMKTDATE,
42287,DividendPeriodPaymentDateUnadjusted,LOCALMKTDATE,
42288,DividendPeriodPaymentDateRelativeTo,INT,
42289,DividendPeriodPaymentDateOffsetPeriod,INT,
42290,DividendPeriodPaymentDateOffsetUnit,STRING,
42291,DividendPeriodPaymentDateOffsetDayType,INT,
42292,DividendPeriodPaymentDateAdjusted,LOCALMKTDATE,
42293,DividendPeriodXID,XID,
42294,NoDividendPeriodBusinessCenters,NUMINGROUP,
42295,DividendPeriodBusinessCenter,STRING,
42296,NoExtraordinaryEvents,NUMINGROUP,
42297,ExtraordinaryEventType,STRING,
42298,ExtraordinaryEventValue,STRING,
42299,LegCashSettlDateUnadjusted,LOCALMKTDATE,
42300,LegCashSettlDateBusinessDayConvention,INT,
42301,LegCashSettlDateRelativeTo,INT,
42302,LegCashSettlDateOffsetPeriod,INT,
42303,LegCashSettlDateOffsetUnit,STRING,
42304,LegCashSettlDateOffsetDayType,INT,
42305,LegCashSettlDateAdjusted,LOCALMKTDATE,
42306,NoLegCashSettlDateBusinessCenters,NUMINGROUP,
42307,LegCashSettlDateBusinessCenter,STRING,
42308,LegCashSettlPriceSource,STRING,
42309,LegCashSettlPriceDefault,INT,
42310,NoLegDividendAccrualPaymentDateBusinessCenters,NUMINGROUP,
42311,LegDividendAccrualPaymentDateBusinessCenter,STRING,
42312,LegDividendFloatingRateIndex,STRING,
42313,LegDividendFloatingRateIndexCurvePeriod,INT,
42314,LegDividendFloatingRateIndexCurveUnit,STRING,
42315,LegDividendFloatingRateMultiplier,FLOAT,
42316,LegDividendFloatingRateSpread,PRICEOFFSET,
42317,LegDividendFloatingRateSpreadPositionType,INT,
42318,LegDividendFloatingRateTreatment,INT,
42319,LegDividendCapRate,PERCENTAGE,
42320,LegDividendCapRateBuySide,INT,
42321,LegDividendCapRateSellSide,INT,
42322,LegDividendFloorRate,PERCENTAGE,
42323,LegDividendFloorRateBuySide,INT,
42324,LegDividendFloorRateSellSide,INT,
42325,LegDividendInitialRate,PERCENTAGE,
42326,LegDividendFinalRateRoundingDirection,CHAR,
42327,LegDividendFinalRatePrecision,INT,
42328,LegDividendAveragingMethod,INT,
42329,LegDividendNegativeRateTreatment,INT,
42330,LegDividendAccrualPaymentDateRelativeTo,INT,
