number,name,type,description
2041,UnderlyingDatedDate,LOCALMKTDATE,
2042,UnderlyingInterestAccrualDate,LOCALMKTDATE,
2043,UnderlyingShortSaleRestriction,INT,
2044,UnderlyingRefTickTableID,INT,
2045,NoUnderlyingComplexEvents,NUMINGROUP,
2046,UnderlyingComplexEventType,INT,
2047,UnderlyingComplexOptPayoutAmount,AMT,
2048,UnderlyingComplexEventPrice,PRICE,
2049,UnderlyingComplexEventPriceBoundaryMethod,INT,
2050,UnderlyingComplexEventPriceBoundaryPrecision,PERCENTAGE,
2051,UnderlyingComplexEventPriceTimeType,INT,
2052,UnderlyingComplexEventCondition,INT,
2053,NoUnderlyingComplexEventDates,NUMINGROUP,
2054,UnderlyingComplexEventStartDate,UTCDATEONLY,
2055,UnderlyingComplexEventEndDate,UTCDATEONLY,
2056,NoUnderlyingComplexEventTimes,NUMINGROUP,
2057,UnderlyingComplexEventStartTime,UTCTIMEONLY,
2058,UnderlyingComplexEventEndTime,UTCTIMEONLY,
2059,NoLegEvents,NUMINGROUP,
2060,LegEventType,INT,
2061,LegEventDate,LOCALMKTDATE,
2062,LegEventTime,UTCTIMESTAMP,
2063,LegEventTimeUnit,STRING,
2064,LegEventTimePeriod,INT,
2065,LegEventPx,PRICE,
2066,LegEventText,STRING,
2067,LegAssetClass,INT,
2068,LegAssetSubClass,INT,
2069,LegAssetType,STRING,
2070,LegSwapClass,STRING,
2071,UnderlyingEventText,STRING,
2072,EncodedUnderlyingEventTextLen,LENGTH,
2073,EncodedUnderlyingEventText,DATA,
2074,EncodedLegEventTextLen,LENGTH,
2075,EncodedLegEventText,DATA,
2076,NoLegSecondaryAssetClasses,NUMINGROUP,
2077,LegSecondaryAssetClass,INT,
2078,LegSecondaryAssetSubClass,INT,
2079,LegSecondaryAssetType,STRING,
2080,NoUnderlyingSecondaryAssetClasses,NUMINGROUP,
2081,UnderlyingSecondaryAssetClass,INT,
2082,UnderlyingSecondaryAssetSubClass,INT,
2083,UnderlyingSecondaryAssetType,STRING,
2084,PreviousClearingBusinessDate,LOCALMKTDATE,
2085,ValuationDate,LOCALMKTDATE,
2086,ValuationTime,LOCALMKTTIME,
2087,ValuationBusinessCenter,STRING,
2088,MarginAmtFXRate,FLOAT,
2089,MarginAmtFXRateCalc,CHAR,
2090,CollateralFXRate,FLOAT,
2091,CollateralFXRateCalc,CHAR,
2092,CollateralAmountMarketSegmentID,STRING,
2093,CollateralAmountMarketID,STRING,
2094,PayCollectFXRate,FLOAT,
2095,PayCollectFXRateCalc,CHAR,
2096,PosAmtStreamDesc,STRING,
2097,PositionFXRate,FLOAT,
2098,PositionFXRateCalc,CHAR,
2099,PosAmtMarketSegmentID,STRING,
2100,PosAmtMarketID,STRING,
2101,TerminatedIndicator,BOOLEAN,
2102,ShortMarkingExemptIndicator,BOOLEAN,
2103,RelatedRegulatoryTradeIDSource,STRING,
2104,NoAttachments,NUMINGROUP,
2105,AttachmentName,STRING,
2106,AttachmentMediaType,STRING,
2107,AttachmentClassification,STRING,
2108,AttachmentExternalURL,STRING,
2109,AttachmentEncodingType,INT,
2110,UnencodedAttachmentLen,INT,
2111,EncodedAttachmentLen,LENGTH,
2112,EncodedAttachment,DATA,
2113,NoAttachmentKeywords,NUMINGROUP,
2114,AttachmentKeyword,STRING,
2115,NegotiationMethod,INT,
2116,NextAuctionTime,UTCTIMESTAMP,
2117,ComplexOptPayoutPaySide,INT,
2118,ComplexOptPayoutReceiveSide,INT,
2119,ComplexOptPayoutUnderlier,STRING,
2120,ComplexOptPayoutPercentage,PERCENTAGE,
2121,ComplexOptPayoutTime,INT,
2122,ComplexOptPayoutCurrency,CURRENCY,
2123,ComplexEventPricePercentage,PERCENTAGE,
2124,ComplexEventCurrencyOne,CURRENCY,
2125,ComplexEventCurrencyTwo,CURRENCY,
2126,ComplexEventQuoteBasis,INT,
2127,ComplexEventFixedFXRate,FLOAT,
2128,ComplexEventDeterminationMethod,STRING,
2129,ComplexEventCalculationAgent,INT,
2130,ComplexEventStrikePrice,PRICE,
2131,ComplexEventStrikeFactor,FLOAT,
2132,ComplexEventStrikeNumberOfOptions,INT,
2133,ComplexEventCreditEventsXIDRef,XIDREF,
2134,ComplexEventCreditEventNotifyingParty,INT,
2135,ComplexEventCreditEventBusinessCenter,STRING,
2136,ComplexEventCreditEventStandardSources,BOOLEAN,
2137,ComplexEventCreditEventMinimumSources,INT,
2138,ComplexEventXID,XID,
2139,ComplexEventXIDRef,XIDREF,
2140,ValuationReferenceModel,STRING,
2141,StrategyType,STRING,
2142,CommonPricingIndicator,BOOLEAN,
2143,SettlDisruptionProvision,INT,
2144,InstrumentRoundingDirection,CHAR,
2145,InstrumentRoundingPrecision,INT,
2146,LegSettleOnOpenFlag,STRING,
2147,LegInstrmtAssignmentMethod,CHAR,
2148,LegSecurityStatus,STRING,
2149,LegRestructuringType,STRING,
2150,LegSeniority,STRING,
2151,LegNotionalPercentageOutstanding,PERCENTAGE,
2152,LegOriginalNotionalPercentageOutstanding,PERCENTAGE,
2153,LegAttachmentPoint,PERCENTAGE,
2154,LegDetachmentPoint,PERCENTAGE,
2155,LegObligationType,STRING,
2156,LegSwapSubClass,STRING,
2157,LegNthToDefault,INT,
2158,LegMthToDefault,INT,
2159,LegSettledEntityMatrixSource,STRING,
2160,LegSettledEntityMatrixPublicationDate,LOCALMKTDATE,
2161,LegCouponType,INT,
2162,LegTotalIssuedAmount,AMT,
2163,LegCouponFrequencyPeriod,INT,
2164,LegCouponFrequencyUnit,STRING,
2165,LegCouponDayCount,INT,
2166,LegConvertibleBondEquityID,STRING,
2167,LegConvertibleBondEquityIDSource,STRING,
2168,LegContractPriceRefMonth,MONTHYEAR,
2169,LegLienSeniority,INT,
2170,LegLoanFacility,INT,
2171,LegReferenceEntityType,INT,
2172,LegIndexSeries,INT,
2173,LegIndexAnnexVersion,INT,
2174,LegIndexAnnexDate,LOCALMKTDATE,
2175,LegIndexAnnexSource,STRING,
2176,LegSettlRateIndex,STRING,
2177,LegSettlRateIndexLocation,STRING,
2178,LegOptionExpirationDesc,STRING,
2179,EncodedLegOptionExpirationDescLen,LENGTH,
2180,EncodedLegOptionExpirationDesc,DATA,
2181,LegStrikeMultiplier,FLOAT,
2182,LegStrikeValue,FLOAT,
2183,LegStrikeUnitOfMeasure,STRING,
2184,LegStrikeIndex,STRING,
2185,LegStrikeIndexSpread,PRICEOFFSET,
2186,LegStrikePriceDeterminationMethod,INT,
2187,LegStrikePriceBoundaryMethod,INT,
2188,LegStrikePriceBoundaryPrecision,PERCENTAGE,
2189,LegUnderlyingPriceDeterminationMethod,INT,
2190,LegMinPriceIncrement,FLOAT,
2191,LegMinPriceIncrementAmount,AMT,
2192,LegSettlMethod,STRING,
2193,LegOptPayoutType,INT,
2194,LegOptPayoutAmount,AMT,
2195,LegPriceQuoteMethod,STRING,
2196,LegValuationMethod,STRING,
2197,LegValuationSource,STRING,
2198,LegValuationReferenceModel,STRING,
2199,LegListMethod,INT,
2200,LegCapPrice,PRICE,
2201,LegFloorPrice,PRICE,
2202,LegFlexibleIndicator,BOOLEAN,
2203,LegFlexProductEligibilityIndicator,BOOLEAN,
2204,LegComplexEventStartTime,UTCTIMEONLY,
2205,LegPositionLimit,INT,
2206,LegNTPositionLimit,INT,
2207,LegCPProgram,INT,
2208,LegCPRegType,STRING,
2209,LegShortSaleRestriction,INT,
2210,AssetGroup,INT,
2211,LegStrategyType,STRING,
2212,LegCommonPricingIndicator,BOOLEAN,
2213,LegSettlDisruptionProvision,INT,
2214,LegInstrumentRoundingDirection,CHAR,
2215,LegInstrumentRoundingPrecision,INT,
2216,MiscFeeRate,PERCENTAGE,
2217,MiscFeeAmountDue,AMT,
2218,NoLegComplexEvents,NUMINGROUP,
2219,LegComplexEventType,INT,
2220,LegComplexOptPayoutPaySide,INT,
2221,LegComplexOptPayoutReceiveSide,INT,
2222,LegComplexOptPayoutUnderlier,STRING,
2223,LegComplexOptPayoutAmount,AMT,
2224,LegComplexOptPayoutPercentage,PERCENTAGE,
2225,LegComplexOptPayoutTime,INT,
2226,LegComplexOptPayoutCurrency,CURRENCY,
2227,LegComplexEventPrice,PRICE,
2228,LegComplexEventPricePercentage,PERCENTAGE,
2229,LegComplexEventPriceBoundaryMethod,INT,
2230,LegComplexEventPriceBoundaryPrecision,PERCENTAGE,
2231,LegComplexEventPriceTimeType,INT,
2232,LegComplexEventCondition,INT,
2233,LegComplexEventCurrencyOne,CURRENCY,
2234,LegComplexEventCurrencyTwo,CURRENCY,
2235,LegComplexEventQuoteBasis,INT,
2236,LegComplexEventFixedFXRate,FLOAT,
2237,LegComplexEventDeterminationMethod,STRING,
2238,LegComplexEventCalculationAgent,INT,
2239,LegComplexEventStrikePrice,PRICE,
2240,LegComplexEventStrikeFactor,FLOAT,
2241,LegComplexEventStrikeNumberOfOptions,INT,
2242,LegComplexEventCreditEventsXIDRef,XIDREF,
2243,LegComplexEventCreditEventNotifyingParty,INT,
2244,LegComplexEventCreditEventBusinessCenter,STRING,
2245,LegComplexEventCreditEventStandardSources,BOOLEAN,
2246,LegComplexEventCreditEventMinimumSources,INT,
2247,LegComplexEventEndTime,UTCTIMEONLY,
2248,LegComplexEventXID,XID,
2249,LegComplexEventXIDRef,XIDREF,
2250,NoLegComplexEventDates,NUMINGROUP,
2251,LegComplexEventStartDate,UTCDATEONLY,
2252,LegComplexEventEndDate,UTCDATEONLY,
2253,NoLegComplexEventTimes,NUMINGROUP,
2254,NoLegInstrumentParties,NUMINGROUP,
2255,LegInstrumentPartyID,STRING,
2256,LegInstrumentPartyIDSource,CHAR,
2257,LegInstrumentPartyRole,INT,
2258,NoLegInstrumentPartySubIDs,NUMINGROUP,
2259,LegInstrumentPartySubID,STRING,
2260,LegInstrumentPartySubIDType,INT,
2261,UnderlyingComplexOptPayoutPaySide,INT,
2262,UnderlyingComplexOptPayoutReceiveSide,INT,
2263,UnderlyingComplexOptPayoutUnderlier,STRING,
2264,UnderlyingComplexOptPayoutPercentage,PERCENTAGE,
2265,UnderlyingComplexOptPayoutTime,INT,
2266,UnderlyingComplexOptPayoutCurrency,CURRENCY,
2267,UnderlyingComplexEventPricePercentage,PERCENTAGE,
2268,UnderlyingComplexEventCurrencyOne,CURRENCY,
2269,UnderlyingComplexEventCurrencyTwo,CURRENCY,
2270,UnderlyingComplexEventQuoteBasis,INT,
2271,UnderlyingComplexEventFixedFXRate,FLOAT,
2272,UnderlyingComplexEventDeterminationMethod,STRING,
2273,UnderlyingComplexEventCalculationAgent,INT,
2274,UnderlyingComplexEventStrikePrice,PRICE,
2275,UnderlyingComplexEventStrikeFactor,FLOAT,
2276,UnderlyingComplexEventStrikeNumberOfOptions,INT,
2277,UnderlyingComplexEventCreditEventsXIDRef,XIDREF,
2278,UnderlyingComplexEventCreditEventNotifyingParty,INT,
2279,UnderlyingComplexEventCreditEventBusinessCenter,STRING,
2280,UnderlyingComplexEventCreditEventStandardSources,BOOLEAN,
2281,UnderlyingComplexEventCreditEventMinimumSources,INT,
2282,UnderlyingComplexEventXID,XID,
2283,UnderlyingComplexEventXIDRef,XIDREF,
2284,UnderlyingSettlRateIndex,STRING,
2285,UnderlyingSettlRateIndexLocation,STRING,
2286,UnderlyingOptionExpirationDesc,STRING,
2287,EncodedUnderlyingOptionExpirationDescLen,LENGTH,
2288,EncodedUnderlyingOptionExpirationDesc,DATA,
2289,UnderlyingSwapSubClass,STRING,
2290,UnderlyingStrikeUnitOfMeasure,STRING,
2291,UnderlyingStrikeIndex,STRING,
2292,UnderlyingStrikeIndexSpread,PRICEOFFSET,
2293,UnderlyingValuationSource,STRING,
2294,UnderlyingValuationReferenceModel,STRING,
2295,UnderlyingStrategyType,STRING,
2296,UnderlyingCommonPricingIndicator,BOOLEAN,
2297,UnderlyingSettlDisruptionProvision,INT,
2298,UnderlyingInstrumentRoundingDirection,CHAR,
2299,UnderlyingInstrumentRoundingPrecision,INT,
2300,AllocGrossTradeAmt,AMT,
2301,LastQtyChanged,QTY,
2302,TradeVersion,STRING,
2303,HistoricalReportIndicator,BOOLEAN,
2304,NoAssetAttributes,NUMINGROUP,
2305,AssetAttributeType,STRING,
2306,AssetAttributeValue,STRING,
2307,AssetAttributeLimit,STRING,
2308,NoLegAssetAttributes,NUMINGROUP,
2309,LegAssetAttributeType,STRING,
2310,LegAssetAttributeValue,STRING,
2311,LegAssetAttributeLimit,STRING,
2312,NoUnderlyingAssetAttributes,NUMINGROUP,
2313,UnderlyingAssetAttributeType,STRING,
2314,UnderlyingAssetAttributeValue,STRING,
2315,UnderlyingAssetAttributeLimit,STRING,
2316,RiskLimitReportStatus,INT,
2317,RiskLimitReportRejectReason,INT,
2318,RiskLimitCheckRequestID,STRING,
2319,RiskLimitCheckID,STRING,
2320,RiskLimitCheckTransType,INT,
2321,RiskLimitCheckType,INT,
2322,RiskLimitCheckRequestRefID,INT,
2323,RiskLimitCheckRequestType,INT,
2324,RiskLimitCheckAmount,AMT,
2325,RiskLimitCheckRequestStatus,INT,
2326,RiskLimitCheckRequestResult,INT,
2327,RiskLimitApprovedAmount,AMT,
2328,PartyActionRequestID,STRING,
2329,PartyActionType,INT,
2330,ApplTestMessageIndicator,BOOLEAN,
2331,PartyActionReportID,STRING,
2332,PartyActionResponse,INT,
2333,PartyActionRejectReason,INT,
2334,RefRiskLimitCheckID,STRING,
2335,RefRiskLimitCheckIDType,INT,
2336,RiskLimitVelocityPeriod,INT,
2337,RiskLimitVelocityUnit,STRING,
2338,RequestingPartyRoleQualifier,INT,
2339,RiskLimitCheckModelType,INT,
2340,EventMonthYear,MONTHYEAR,
2341,LegEventMonthYear,MONTHYEAR,
2342,UnderlyingEventMonthYear,MONTHYEAR,
2343,RiskLimitCheckStatus,INT,
2344,SideRiskLimitCheckStatus,INT,
2345,NoEntitlementTypes,NUMINGROUP,
2346,LegMidPx,PRICE,
2347,RegulatoryTransactionType,INT,
2348,LegAssetGroup,INT,
2349,PricePrecision,INT,
2350,CollateralPortfolioID,STRING,
2351,EncodedComplianceTextLen,LENGTH,
2352,EncodedComplianceText,DATA,
2353,TradingUnitPeriodMultiplier,INT,
2354,LegTradingUnitPeriodMultiplier,INT,
2355,PartyRiskLimitStatus,INT,
2356,RemunerationIndicator,INT,
2357,LegTotalTradeQty,QTY,
2358,LegLastMultipliedQty,QTY,
2359,LegTotalGrossTradeAmt,AMT,
2360,LegTotalTradeMultipliedQty,QTY,
2361,CompressionGroupID,STRING,
2362,SelfMatchPreventionID,STRING,
2363,UnderlyingTradingUnitPeriodMultiplier,INT,
2364,PosReportAction,INT,
2365,SettlForwardPoints,PRICEOFFSET,
2366,SettlPriceFxRateCalc,CHAR,
2367,TotalTradeQty,QTY,
2368,LastMultipliedQty,QTY,
2369,TotalGrossTradeAmt,AMT,
2370,TotalTradeMultipliedQty,QTY,
2371,EncodedTradeContinuationText,DATA,
2372,EncodedTradeContinuationTextLen,LENGTH,
2373,IntraFirmTradeIndicator,BOOLEAN,
2374,TradeContinuationText,STRING,
2375,TaxonomyType,CHAR,
2376,PartyRoleQualifier,INT,
2377,DerivativeInstrumentPartyRoleQualifier,INT,
2378,InstrumentPartyRoleQualifier,INT,
2379,LegInstrumentPartyRoleQualifier,INT,
2380,LegProvisionPartyRoleQualifier,INT,
2381,Nested2PartyRoleQualifier,INT,
2382,Nested3PartyRoleQualifier,INT,
2383,Nested4PartyRoleQualifier,INT,
2384,NestedPartyRoleQualifier,INT,
2385,ProvisionPartyRoleQualifier,INT,
2386,RequestedPartyRoleQualifier,INT,
2387,TradeContingency,INT,
2388,RootPartyRoleQualifier,INT,
2389,SettlPartyRoleQualifier,INT,
2390,TradeConfirmationReferenceID,STRING,
2391,UnderlyingInstrumentPartyRoleQualifier,INT,
2392,AllocRefRiskLimitCheckID,STRING,
2393,AllocRefRiskLimitCheckIDType,INT,
2394,LimitUtilizationAmt,AMT,
2395,LimitAmt,AMT,
2396,LimitRole,INT,
2397,RegulatoryTradeIDScope,INT,
2398,SideRegulatoryTradeIDScope,INT,
2399,AllocRegulatoryTradeIDScope,INT,
2400,EffectiveBusinessDate,LOCALMKTDATE,
2401,ListManualOrderIndicator,BOOLEAN,
2402,EntitlementSubType,INT,
2403,QuoteModelType,INT,
2404,ComplianceText,STRING,
2405,ExecMethod,INT,
2406,AllocRegulatoryLegRefID,STRING,
2407,ComplexEventSpotRate,PRICE,
2408,ComplexEventForwardPoints,PRICEOFFSET,
2409,LegComplexEventSpotRate,PRICE,
2410,LegComplexEventForwardPoints,PRICEOFFSET,
2411,RegulatoryLegRefID,STRING,
2412,RateSourceReferemcePageHeading,STRING,
2413,RelatedToSecurityID,STRING,
2414,RelatedToSecurityIDSource,STRING,
2415,RelatedToStreamXIDRef,XIDREF,
2416,SideRegulatoryLegRefID,STRING,
2417,RelatedToDividendPeriodXIDRef,XIDREF,
2418,FirmTradeEventID,STRING,
2419,UnderlyingComplexEventSpotRate,PRICE,
2420,UnderlyingComplexEventForwardPoints,PRICEOFFSET,
2421,FillRefID,STRING,
2422,OrderRequestID,INT,
2423,MassOrderRequestID,STRING,
2424,MassOrderReportID,STRING,
2425,MassOrderRequestStatus,INT,
2426,MassOrderRequestResult,INT,
2427,OrderResponseLevel,INT,
2428,NoOrderEntries,NUMINGROUP,
2429,OrderEntryAction,CHAR,
2430,OrderEntryID,INT,
2431,ExecTypeReason,INT,
2432,TotNoOrderEntries,INT,
2433,NoTargetPartySubIDs,NUMINGROUP,
2434,TargetPartySubID,STRING,
2435,TargetPartySubIDType,INT,
2436,TransferInstructionID,STRING,
2437,TransferID,STRING,
2438,TransferReportID,STRING,
2439,TransferTransType,INT,
2440,TransferType,INT,
2441,TransferScope,INT,
2442,TransferStatus,INT,
2443,TransferRejectReason,INT,
2444,TransferReportType,INT,
2445,AggressorTime,UTCTIMESTAMP,
2446,AggressorSide,CHAR,
2447,FastMarketIndicator,BOOLEAN,
2448,LinkageHandlingIndicator,BOOLEAN,
2449,NumberOfBuyOrders,INT,
2450,NumberOfSellOrders,INT,
2451,SettlPriceDeterminationMethod,INT,
2452,MDStatisticReqID,STRING,
2453,MDStatisticRptID,STRING,
2454,MDStatisticName,STRING,
2455,MDStatisticDesc,STRING,
2456,MDStatisticType,INT,
2457,MDStatisticScope,INT,
2458,MDStatisticSubScope,INT,
2459,MDStatisticScopeType,INT,
2460,MDStatisticFrequencyPeriod,INT,
2461,MDStatisticFrequencyUnit,INT,
2462,MDStatisticDelayPeriod,INT,
2463,MDStatisticDelayUnit,INT,
2464,MDStatisticIntervalType,INT,
2465,MDStatisticIntervalTypeUnit,STRING,
2466,MDStatisticIntervalPeriod,INT,
2467,MDStatisticIntervalUnit,INT,
2468,MDStatisticStartDate,UTCTIMESTAMP,
2469,MDStatisticEndDate,UTCTIMESTAMP,
2470,MDStatisticStartTime,UTCTIMEONLY,
2471,MDStatisticEndTime,UTCTIMEONLY,
2472,MDStatisticRatioType,INT,
2473,MDStatisticRequestResult,INT,
2474,NoMDStatistics,NUMINGROUP,
2475,MDStatisticID,STRING,
2476,MDStatisticTime,UTCTIMESTAMP,
2477,MDStatisticStatus,INT,
2478,MDStatisticValue,FLOAT,
2479,MDStatisticValueType,INT,
2480,MDStatisticValueUnit,INT,
2481,EncodedMDStatisticDescLen,LENGTH,
2482,EncodedMDStatisticDesc,DATA,
2483,AllocRiskLimitCheckStatus,INT,
2484,FirmTransactionID,STRING,
2485,TransactionID,STRING,
2486,WireReference,STRING,
2487,CollRptRejectReason,INT,
2488,CollRptStatus,INT,
2489,PackageID,STRING,
2490,TradeNumber,INT,
2491,UnderlyingAssetGroup,INT,
2492,LegDifferentialPrice,PRICEOFFSET,
2493,EncodedLegDocumentationText,DATA,
2494,EncodedLegDocumentationTextLen,LENGTH,
2495,LegAgreementCurrency,CURRENCY,
2496,LegAgreementDate,LOCALMKTDATE,
2497,LegAgreementDesc,STRING,
2498,LegAgreementID,STRING,
2499,LegAgreementVersion,STRING,
2500,LegBrokerConfirmationDesc,STRING,
2501,LegCreditSupportAgreementDate,LOCALMKTDATE,
2502,LegCreditSupportAgreementDesc,STRING,
2503,LegCreditSupportAgreementID,STRING,
2504,LegDeliveryType,INT,
2505,LegDocumentationText,STRING,
2506,LegEndDate,LOCALMKTDATE,
2507,LegGoverningLaw,STRING,
2508,LegMarginRatio,PERCENTAGE,
2509,LegMasterConfirmationAnnexDate,LOCALMKTDATE,
2510,LegMasterConfirmationDate,LOCALMKTDATE,
2511,LegMasterConfirmationDesc,STRING,
2512,LegMasterConfirmationAnnexDesc,STRING,
2513,LegStartDate,LOCALMKTDATE,
2514,LegTerminationType,INT,
2515,AllocCalculatedCcyQty,QTY,
2516,CollateralRequestInstruction,STRING,
2517,CollateralRequestLinkID,STRING,
2518,CollateralRequestNumber,INT,
2519,TotNumCollateralRequests,INT,
2520,WarningText,STRING,
2521,EncodedWarningText,DATA,
2522,EncodedWarningTextLen,LENGTH,
2523,CrossedIndicator,INT,
2524,TradeReportingIndicator,INT,
2525,AffiliatedFirmsTradeIndicator,BOOLEAN,
2526,InternationalSwapIndicator,BOOLEAN,
2527,MultiAssetSwapIndicator,BOOLEAN,
2528,ClearingSettlPrice,PRICE,
2529,NoRelativeValues,NUMINGROUP,
2530,RelativeValueType,INT,
2531,RelativeValue,FLOAT,
2532,RelativeValueSide,INT,
2533,BidSpread,FLOAT,
2534,OfferSpread,FLOAT,
2535,MDReportEvent,INT,
2536,MDReportCount,INT,
2537,TotNoMarketSegmentReports,INT,
2538,TotNoInstrumentReports,INT,
2539,TotNoPartyDetailReports,INT,
2540,TotNoEntitlementReports,INT,
2541,TotNoRiskLimitReports,INT,
2542,MarketSegmentStatus,INT,
2543,MarketSegmentType,INT,
2544,MarketSegmentSubType,INT,
2545,NoRelatedMarketSegments,NUMINGROUP,
2546,RelatedMarketSegmentID,STRING,
2547,MarketSegmentRelationship,INT,
2548,NoAuctionTypeRules,NUMINGROUP,
2549,AuctionTypeProductComplex,STRING,
2550,NoPriceRangeRules,NUMINGROUP,
2551,StartPriceRange,PRICE,
2552,EndPriceRange,PRICE,
2553,PriceRangeValue,PRICE,
2554,PriceRangePercentage,PERCENTAGE,
2555,PriceRangeProductComplex,STRING,
2556,PriceRangeRuleID,STRING,
2557,FastMarketPercentage,PERCENTAGE,
2558,NoQuoteSizeRules,NUMINGROUP,
2559,QuoteSideIndicator,BOOLEAN,
2560,NoFlexProductEligibilities,NUMINGROUP,
2561,FlexProductEligibilityComplex,STRING,
2562,NumOfComplexInstruments,INT,
2563,MarketDepthTimeInterval,INT,
2564,MarketDepthTimeIntervalUnit,INT,
2565,MDRecoveryTimeInterval,INT,
2566,MDRecoveryTimeIntervalUnit,INT,
2567,PrimaryServiceLocationID,STRING,
2568,SecondaryServiceLocationID,STRING,
2569,MatchRuleProductComplex,STRING,
2570,CustomerPriority,INT,
2571,TickRuleProductComplex,STRING,
2572,PreviousAdjustedOpenInterest,AMT,
2573,PreviousUnadjustedOpenInterest,AMT,
2574,LowExercisePriceOptionIndicator,BOOLEAN,
2575,BlockTradeEligibilityIndicator,BOOLEAN,
2576,InstrumentPricePrecision,INT,
2577,StrikePricePrecision,INT,
2578,OrigStrikePrice,PRICE,
2579,SettlSubMethod,INT,
2580,NoClearingPriceParameters,NUMINGROUP,
2581,BusinessDayType,INT,
2582,ClearingPriceOffset,PRICEOFFSET,
2583,VegaMultiplier,FLOAT,
2584,AnnualTradingBusinessDays,INT,
2585,TotalTradingBusinessDays,INT,
2586,TradingBusinessDays,INT,
2587,RealizedVariance,FLOAT,
2588,StandardVariance,FLOAT,
2589,RelatedClosePrice,PRICE,
2590,OvernightInterestRate,FLOAT,
2591,AccumulatedReturnModifiedVariationMargin,FLOAT,
2592,CalculationMethod,INT,
2593,NoOrderAttributes,NUMINGROUP,
2594,OrderAttributeType,INT,
2595,OrderAttributeValue,STRING,
2596,DeltaCrossed,BOOLEAN,
2597,ComplexEventFuturesPriceValuation,BOOLEAN,
2598,ComplexEventOptionsPriceValuation,BOOLEAN,
2599,ComplexEventPVFinalPriceElectionFallback,INT,
2600,StrikeIndexCurvePoint,STRING,
2601,StrikeIndexQuote,INT,
2602,ExtraordinaryEventAdjustmentMethod,INT,
2603,ExchangeLookAlike,BOOLEAN,
2604,LegStrikeIndexCurvePoint,STRING,
2605,LegStrikeIndexQuote,INT,
2606,LegExtraordinaryEventAdjustmentMethod,INT,
2607,LegExchangeLookAlike,BOOLEAN,
2608,LegComplexEventFuturesPriceValuation,BOOLEAN,
2609,LegComplexEventOptionsPriceValuation,BOOLEAN,
2610,LegComplexEventPVFinalPriceElectionFallback,INT,
2611,UnderlyingComplexEventFuturesPriceValuation,BOOLEAN,
2612,UnderlyingComplexEventOptionsPriceValuation,BOOLEAN,
2613,UnderlyingComplexEventPVFinalPriceElectionFallback,INT,
2614,UnderlyingNotional,AMT,
2615,UnderlyingNotionalCurrency,CURRENCY,
2616,UnderlyingNotionalDeterminationMethod,STRING,
2617,UnderlyingNotionalAdjustments,INT,
2618,PositionID,STRING,
2619,UnderlyingNotionalXIDRef,XIDREF,
2620,UnderlyingFutureID,STRING,
2621,UnderlyingFutureIDSource,STRING,
2622,UnderlyingStrikeIndexCurvePoint,STRING,
2623,UnderlyingStrikeIndexQuote,INT,
2624,UnderlyingExtraordinaryEventAdjustmentMethod,INT,
2625,UnderlyingExchangeLookAlike,BOOLEAN,
2626,UnderlyingAverageVolumeLimitationPercentage,AMT,
2627,UnderlyingAverageVolumeLimitationPeriodDays,INT,
2628,UnderlyingDepositoryReceiptIndicator,BOOLEAN,
2629,UnderlyingOpenUnits,QTY,
2630,UnderlyingBasketDivisor,FLOAT,
2631,UnderlyingInstrumentXID,XID,
2632,CollateralAmountType,INT,
2633,NoMiscFeeSubTypes,NUMINGROUP,
2634,MiscFeeSubType,STRING,
2635,MiscFeeSubTypeAmt,AMT,
2636,MiscFeeSubTypeDesc,STRING,
2637,EncodedMiscFeeSubTypeDescLen,LENGTH,
2638,EncodedMiscFeeSubTypeDesc,DATA,
2639,NoCommissions,NUMINGROUP,
2640,CommissionAmount,AMT,
2641,CommissionAmountType,INT,
2642,CommissionBasis,CHAR,
2643,CommissionCurrency,CURRENCY,
2644,CommissionUnitOfMeasure,STRING,
2645,CommissionUnitOfMeasureCurrency,CURRENCY,
2646,CommissionRate,FLOAT,
2647,CommissionSharedIndicator,BOOLEAN,
2648,CommissionAmountShared,AMT,
2649,CommissionLegRefID,STRING,
2650,CommissionDesc,STRING,
2651,EncodedCommissionDescLen,LENGTH,
2652,EncodedCommissionDesc,DATA,
2653,NoAllocCommissions,NUMINGROUP,
2654,AllocCommissionAmount,AMT,
2655,AllocCommissionAmountType,INT,
2656,AllocCommissionBasis,CHAR,
2657,AllocCommissionCurrency,CURRENCY,
2658,AllocCommissionUnitOfMeasure,STRING,
2659,AllocCommissionUnitOfMeasureCurrency,CURRENCY,
2660,AllocCommissionRate,FLOAT,
2661,AllocCommissionSharedIndicator,BOOLEAN,
2662,AllocCommissionAmountShared,AMT,
2663,AllocCommissionLegRefID,STRING,
2664,AllocCommissionDesc,STRING,
2665,EncodedAllocCommissionDescLen,LENGTH,
2666,EncodedAllocCommissionDesc,DATA,
2667,AlgorithmicTradeIndicator,INT,
2668,NoTrdRegPublications,NUMINGROUP,
2669,TrdRegPublicationType,INT,
2670,TrdRegPublicationReason,INT,
2671,SideTradeReportingIndicator,INT,
2672,CrossRequestID,STRING,
2673,FillMatchID,STRING,
2674,FillMatchSubID,STRING,
2675,MassActionReason,INT,
2676,MaximumPriceDeviation,PERCENTAGE,
2677,NotAffectedReason,INT,
2678,TotalNotAffectedOrders,INT,
2679,OrderOwnershipIndicator,INT,
2680,LegAccount,STRING,
