component_name,field_number,field_name,field_type,required,component_path
CommissionData,12,Commission,AMT,N,CommissionData
CommissionData,13,CommType,CHAR,N,CommissionData
CommissionData,479,CommCurrency,CURRENCY,N,CommissionData
CommissionData,497,FundRenewWaiv,CHAR,N,CommissionData
Header,8,BeginString,STRING,Y,Header
Header,9,BodyLength,LENGTH,Y,Header
Header,35,MsgType,STRING,Y,Header
Header,49,SenderCompID,STRING,Y,Header
Header,56,TargetCompID,STRING,Y,Header
Header,115,OnBehalfOfCompID,STRING,N,Header
Header,128,DeliverToCompID,STRING,N,Header
Header,90,SecureDataLen,LENGTH,N,Header
Header,91,SecureData,DATA,N,Header
Header,34,MsgSeqNum,SEQNUM,Y,Header
Header,50,SenderSubID,STRING,N,Header
Header,142,SenderLocationID,STRING,N,Header
Header,57,TargetSubID,STRING,N,Header
Header,143,TargetLocationID,STRING,N,Header
Header,116,OnBehalfOfSubID,STRING,N,Header
Header,144,OnBehalfOfLocationID,STRING,N,Header
Header,129,DeliverToSubID,STRING,N,Header
Header,145,DeliverToLocationID,STRING,N,Header
Header,43,PossDupFlag,BOOLEAN,N,Header
Header,97,PossResend,BOOLEAN,N,Header
Header,52,SendingTime,UTCTIMESTAMP,Y,Header
Header,122,OrigSendingTime,UTCTIMESTAMP,N,Header
Header,212,XmlDataLen,LENGTH,N,Header
Header,213,XmlData,DATA,N,Header
Header,347,MessageEncoding,STRING,N,Header
Header,369,LastMsgSeqNumProcessed,SEQNUM,N,Header
Header,370,OnBehalfOfSendingTime,UTCTIMESTAMP,N,Header
Header,627,NoHops,GROUP,N,Header
Header,628,HopCompID,STRING,N,Header/NoHops
Header,629,HopSendingTime,UTCTIMESTAMP,N,Header/NoHops
Header,630,HopRefID,SEQNUM,N,Header/NoHops
Instrument,55,Symbol,STRING,N,Instrument
Instrument,65,SymbolSfx,STRING,N,Instrument
Instrument,48,SecurityID,STRING,N,Instrument
Instrument,22,SecurityIDSource,STRING,N,Instrument
