component_name,field_number,field_name,field_type,required,component_path
UnderlyingInstrument,2262,UnderlyingComplexOptPayoutReceiveSide,INT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2263,UnderlyingComplexOptPayoutUnderlier,STRING,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2047,UnderlyingComplexOptPayoutAmount,AMT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2264,UnderlyingComplexOptPayoutPercentage,PERCENTAGE,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2265,UnderlyingComplexOptPayoutTime,INT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2266,UnderlyingComplexOptPayoutCurrency,CURRENCY,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2947,UnderlyingComplexOptPayoutCurrencyCodeSource,STRING,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2048,UnderlyingComplexEventPrice,PRICE,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2267,UnderlyingComplexEventPricePercentage,PERCENTAGE,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2049,UnderlyingComplexEventPriceBoundaryMethod,INT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2050,UnderlyingComplexEventPriceBoundaryPrecision,PERCENTAGE,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2051,UnderlyingComplexEventPriceTimeType,INT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2052,UnderlyingComplexEventCondition,INT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2268,UnderlyingComplexEventCurrencyOne,CURRENCY,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2948,UnderlyingComplexEventCurrencyOneCodeSource,STRING,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2269,UnderlyingComplexEventCurrencyTwo,CURRENCY,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2949,UnderlyingComplexEventCurrencyTwoCodeSource,STRING,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2270,UnderlyingComplexEventQuoteBasis,INT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2271,UnderlyingComplexEventFixedFXRate,FLOAT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2419,UnderlyingComplexEventSpotRate,PRICE,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2420,UnderlyingComplexEventForwardPoints,PRICEOFFSET,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2272,UnderlyingComplexEventDeterminationMethod,STRING,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2273,UnderlyingComplexEventCalculationAgent,INT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2274,UnderlyingComplexEventStrikePrice,PRICE,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2275,UnderlyingComplexEventStrikeFactor,FLOAT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2276,UnderlyingComplexEventStrikeNumberOfOptions,INT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2277,UnderlyingComplexEventCreditEventsXIDRef,XIDREF,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2278,UnderlyingComplexEventCreditEventNotifyingParty,INT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2279,UnderlyingComplexEventCreditEventBusinessCenter,STRING,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2280,UnderlyingComplexEventCreditEventStandardSources,BOOLEAN,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2281,UnderlyingComplexEventCreditEventMinimumSources,INT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2611,UnderlyingComplexEventFuturesPriceValuation,BOOLEAN,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2612,UnderlyingComplexEventOptionsPriceValuation,BOOLEAN,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2613,UnderlyingComplexEventPVFinalPriceElectionFallback,INT,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2282,UnderlyingComplexEventXID,XID,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2283,UnderlyingComplexEventXIDRef,XIDREF,N,UnderlyingInstrument/UnderlyingComplexEvents/NoUnderlyingComplexEvents
UnderlyingInstrument,2295,UnderlyingStrategyType,STRING,N,UnderlyingInstrument
UnderlyingInstrument,2296,UnderlyingCommonPricingIndicator,BOOLEAN,N,UnderlyingInstrument
UnderlyingInstrument,2297,UnderlyingSettlDisruptionProvision,INT,N,UnderlyingInstrument
UnderlyingInstrument,2756,UnderlyingDeliveryRouteOrCharter,STRING,N,UnderlyingInstrument
UnderlyingInstrument,2298,UnderlyingInstrumentRoundingDirection,CHAR,N,UnderlyingInstrument
UnderlyingInstrument,2299,UnderlyingInstrumentRoundingPrecision,INT,N,UnderlyingInstrument
UnderlyingInstrument,40964,UnderlyingBusinessDayConvention,INT,N,UnderlyingInstrument/UnderlyingDateAdjustment
UnderlyingInstrument,40962,NoUnderlyingBusinessCenters,GROUP,N,UnderlyingInstrument/UnderlyingDateAdjustment/UnderlyingBusinessCenterGrp
UnderlyingInstrument,40963,UnderlyingBusinessCenter,STRING,N,UnderlyingInstrument/UnderlyingDateAdjustment/UnderlyingBusinessCenterGrp/NoUnderlyingBusinessCenters
UnderlyingInstrument,40965,UnderlyingDateRollConvention,STRING,N,UnderlyingInstrument/UnderlyingDateAdjustment
UnderlyingInstrument,41949,UnderlyingPricingDateUnadjusted,LOCALMKTDATE,N,UnderlyingInstrument/UnderlyingPricingDateTime
UnderlyingInstrument,41950,UnderlyingPricingDateBusinessDayConvention,INT,N,UnderlyingInstrument/UnderlyingPricingDateTime
UnderlyingInstrument,41947,NoUnderlyingPricingDateBusinessCenters,GROUP,N,UnderlyingInstrument/UnderlyingPricingDateTime/UnderlyingPricingDateBusinessCenterGrp
UnderlyingInstrument,41948,UnderlyingPricingDateBusinessCenter,STRING,N,UnderlyingInstrument/UnderlyingPricingDateTime/UnderlyingPricingDateBusinessCenterGrp/NoUnderlyingPricingDateBusinessCenters
UnderlyingInstrument,41951,UnderlyingPricingDateAdjusted,LOCALMKTDATE,N,UnderlyingInstrument/UnderlyingPricingDateTime
UnderlyingInstrument,41952,UnderlyingPricingTime,LOCALMKTTIME,N,UnderlyingInstrument/UnderlyingPricingDateTime
UnderlyingInstrument,41953,UnderlyingPricingTimeBusinessCenter,STRING,N,UnderlyingInstrument/UnderlyingPricingDateTime
UnderlyingInstrument,41859,UnderlyingMarketDisruptionProvision,INT,N,UnderlyingInstrument/UnderlyingMarketDisruption
UnderlyingInstrument,41864,NoUnderlyingMarketDisruptionEvents,GROUP,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionEventGrp
